3IN.L
888.L
AA.L
AAIF.L
AAL.L
AAS.L
ABC.L
ABD.L
ABF.L
ACA.L
ADIG.L
ADM.L
AEFS.L
AEP.L
AGK.L
AGR.L
AGT.L
AHT.L
AIE.L
AJB.L
ALFA.L
ALM.L
AMER.L
AMGO.L
AML.L
AMS.L
ANII.L
ANTO.L
AO.L
APAX.L
APTD.L
ARBB.L
ARW.L
ASAI.L
ASC.L
ASCL.L
ASEI.L
ASHM.L
ASIT.L
ASL.L
ASLI.L
ATR.L
ATS.L
ATST.L
ATT.L
AUTO.L
AV.L
AVN.L
AVON.L
AVST.L
AVV.L
AZN.L
BA.L
BAB.L
BAG.L
BAKK.L
BARC.L
BATS.L
BBA.L
BBGI.L
BBH.L
BBOX.L
BBY.L
BCA.L
BCI.L
BCPT.L
BDEV.L
BEZ.L
BGEO.L
BGFD.L
BGS.L
BGSC.L
BGUK.L
BHGG.L
BHMG.L
BHP.L
BIFF.L
BIOG.L
BKG.L
BLND.L
BME.L
BMY.L
BNKR.L
BNZL.L
BOO.L
BOOT.L
BOWL.L
BOY.L
BP.L
BPET.L
BRBY.L
BREE.L
BREI.L
BRFI.L
BRGE.L
BRK.L
BRLA.L
BRNA.L
BRSC.L
BRW.L
BRWM.L
BSIF.L
BT.A.L
BTG.L
BUR.L
BUT.L
BVC.L
BVIC.L
BVS.L
BWNG.L
BWY.L
BYG.L
CAL.L
CAML.L
CAPC.L
CARD.L
CARR.L
CBG.L
CCC.L
CCFS.L
CCH.L
CCJI.L
CCL.L
CCPG.L
CEY.L
CGT.L
CHG.L
CINE.L
CKN.L
CLDN.L
CLG.L
CLI.L
CLIG.L
CLIN.L
CMCX.L
CMHY.L
CNA.L
CNCT.L
CNE.L
COA.L
COB.L
COST.L
CPG.L
CPI.L
CPR.L
CRDA.L
CREI.L
CRH.L
CRST.L
CRW.L
CSH.L
CSN.L
CSP.L
CSR.L
CSRT.L
CTEC.L
CTR.L
CTY.L
CVSG.L
CWD.L
CWK.L
CYBG.L
DC.L
DCC.L
DCI.L
DFS.L
DGE.L
DIA.L
DIG.L
DIGS.L
DIVI.L
DJAN.L
DLAR.L
DLG.L
DLN.L
DNLM.L
DOM.L
DPEU.L
DPH.L
DPLM.L
DRX.L
DSCV.L
DTG.L
DTY.L
DVO.L
DX.L
ECM.L
EDIN.L
EFM.L
EGL.L
EIG.L
ELM.L
ELTA.L
EMG.L
EMIS.L
ENOG.L
ENQ.L
EPG.L
EPIC.L
EQN.L
ERM.L
ESNT.L
ESP.L
ETO.L
EUT.L
EVR.L
EWI.L
EXPN.L
EZJ.L
FAN.L
FAS.L
FCH.L
FCIT.L
FCSS.L
FDL.L
FDM.L
FDP.L
FEET.L
FERG.L
FEV.L
FGP.L
FGT.L
FJV.L
FLTR.L
FORT.L
FOUR.L
FOXT.L
FRES.L
FSFL.L
FSJ.L
FSTA.L
FSV.L
FTC.L
FXPO.L
GABI.L
GAW.L
GCP.L
GEMD.L
GFRD.L
GFS.L
GFTU.L
GHG.L
GLE.L
GLEN.L
GLO.L
GMS.L
GNC.L
GNK.L
GNS.L
GOCO.L
GOG.L
GPOR.L
GRG.L
GRI.L
GSK.L
GSS.L
GVC.L
GYM.L
HAN.L
HAS.L
HAST.L
HCM.L
HDIV.L
HEAD.L
HEFT.L
HFD.L
HFEL.L
HFG.L
HGM.L
HGT.L
HHI.L
HICL.L
